TechnicalScore,MLScore,ReturnScore,ReliabilityScore,CompositeScore,Signal,Confidence,Symbol,GRU_HOLD,GRU_LONG,GRU_SHORT,GRUScore,HybridMLScore,CompositeScoreV2,SignalV2
-47.07,29.160000000000004,-67.6022603638542,60,-17.6,HOLD,47.96,TRENT.NS,40.39507210254669,20.63675969839096,38.96816670894623,-18.331407010555267,5.414296494722368,-19.37066312435413,HOLD
-49.23,-12.860000000000005,-38.5853362842958,50,-26.27,HOLD,53.27,BPCL.NS,33.33,33.33,33.33,0.0,-6.430000000000002,-19.37656725685916,HOLD
-56.23,11.209999999999996,-44.91565146787232,50,-23.11,HOLD,47.52,JIOFIN.NS,37.537530064582825,29.073873162269592,33.38860273361206,-4.314729571342468,3.4476352143287636,-20.129339729275834,HOLD
-61.84,-0.4100000000000001,-33.15072935664624,50,-26.49,HOLD,62.17,MARUTI.NS,36.3083153963089,30.180704593658447,33.510977029800415,-3.3302724361419678,-1.870136218070984,-21.33518673675054,HOLD
-53.95,-13.31,-32.25559247126456,50,-27.02,HOLD,81.15,BAJFINANCE.NS,39.74090218544006,24.5211124420166,35.73799431324005,-11.21688187122345,-12.263440935611726,-21.512650774936432,HOLD
-57.35,-9.329999999999998,-35.96266475283967,50,-27.93,HOLD,77.01,BHARTIARTL.NS,31.685522198677063,31.38268291950226,36.93179488182068,-5.54911196231842,-7.439555981159209,-21.996899744915694,HOLD
-69.17,-1.9899999999999984,-48.43231465164699,50,-32.95,SELL,81.18,HEROMOTOCO.NS,33.08885097503662,45.193472504615784,21.717675030231476,23.475797474384308,10.742898737192155,-23.17309330917175,HOLD
-63.27,-4.73,-42.42384049863497,50,-30.21,SELL,94.36,SBILIFE.NS,38.550376892089844,27.21658945083618,34.23303961753845,-7.0164501667022705,-5.8732250833511355,-24.89123562473233,HOLD
-65.92,-3.009999999999998,-40.58439735227367,50,-30.39,SELL,63.87,M&M.NS,34.23029184341431,28.505483269691467,37.26421892642975,-8.758735656738281,-5.88436782836914,-25.454189818965475,HOLD
-72.78,-6.84,-52.73119170244697,50,-36.71,SELL,90.01,RELIANCE.NS,36.65808439254761,28.683197498321533,34.65871810913086,-5.975520610809326,-6.407760305404663,-30.44156643211079,SELL
-72.21,-23.35,-47.79722116759033,50,-40.45,SELL,53.8,HINDUNILVR.NS,40.54492115974426,20.321057736873627,39.13402259349823,-18.812964856624603,-21.081482428312302,-33.65738896201175,SELL
-84.73,9.06,-69.3668141665245,50,-40.05,SELL,70.74,HDFCBANK.NS,33.37656557559967,36.49313151836395,30.130302906036377,6.362828612327576,7.711414306163788,-33.71543854145577,SELL
-81.64,-8.739999999999998,-59.284937962459374,50,-42.13,SELL,81.15,BAJAJFINSV.NS,33.27353000640869,34.10927951335907,32.6171875,1.4920920133590698,-3.6239539933204643,-34.018173790488014,SELL
-85.1,-1.6999999999999993,-65.57365877241084,50,-42.66,SELL,78.45,BRITANNIA.NS,33.33,33.33,33.33,0.0,-0.8499999999999996,-35.654731754482164,SELL
